pairnum,mat_1_half_tag,mat_1_whole_tag,mat_1_half_red,mat_1_total_red,mat_2_half_tag,mat_2_whole_tag,mat_2_half_red,mat_2_total_red
1,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_23_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_1_dim_10_r_47.png"" width=""300"" height=""300"" >",23,47,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_34_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_1_mat_2_dim_10_r_58.png"" width=""300"" height=""300"" >",34,58
2,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_29_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_1_dim_10_r_56.png"" width=""300"" height=""300"" >",29,56,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_24_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_2_mat_2_dim_10_r_51.png"" width=""300"" height=""300"" >",24,51
3,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_28_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_1_dim_10_r_53.png"" width=""300"" height=""300"" >",28,53,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_19_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_3_mat_2_dim_10_r_48.png"" width=""300"" height=""300"" >",19,48
4,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_29_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_1_dim_10_r_58.png"" width=""300"" height=""300"" >",29,58,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_4_mat_2_dim_10_r_46.png"" width=""300"" height=""300"" >",26,46
5,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_28_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_1_dim_10_r_53.png"" width=""300"" height=""300"" >",28,53,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_33_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_5_mat_2_dim_10_r_55.png"" width=""300"" height=""300"" >",33,55
6,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_1_dim_10_r_46.png"" width=""300"" height=""300"" >",26,46,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_2_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_6_mat_2_dim_10_r_45.png"" width=""300"" height=""300"" >",26,45
7,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_1_dim_10_r_25_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_1_dim_10_r_49.png"" width=""300"" height=""300"" >",25,49,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_2_dim_10_r_22_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_7_mat_2_dim_10_r_48.png"" width=""300"" height=""300"" >",22,48
8,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_1_dim_10_r_26_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_1_dim_10_r_51.png"" width=""300"" height=""300"" >",26,51,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_2_dim_10_r_31_top_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_8_mat_2_dim_10_r_60.png"" width=""300"" height=""300"" >",31,60
9,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_1_dim_10_r_23_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_1_dim_10_r_53.png"" width=""300"" height=""300"" >",23,53,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_2_dim_10_r_27_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_9_mat_2_dim_10_r_54.png"" width=""300"" height=""300"" >",27,54
10,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_1_dim_10_r_26_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_1_dim_10_r_44.png"" width=""300"" height=""300"" >",26,44,"<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_2_dim_10_r_29_bot_half.png"" width=""300"" height=""300"" >","<img src=""http://christinasun.net/asset_hosting_service/matrix_graphs/dim_10_pairs_10/pair_10_mat_2_dim_10_r_55.png"" width=""300"" height=""300"" >",29,55
